#,Day,Date,Weekday,Unit,Time,Type,Platforms,Pillar,PreRecord,Topic,Hook (RO),Status,Notes
1,D1,2026-05-18,H,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Hétfői hír-dump — weekend recap,Weekend recap: 3 lucruri care s-au mișcat în crypto.,Planned,
2,D1,2026-05-18,H,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Reggeli kávé + premarket check,Mood crypto matinal.,Planned,
3,D1,2026-05-18,H,U3,11:00,LI-TXT,LinkedIn,P2,Igen,3 lecții din primele 24 ore pe TikTok,Day 1 building in public — 3 lessons.,Planned,
4,D1,2026-05-18,H,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.1 — blockchain mama nyelvén,Crypto 101 Ep.1: blockchain pe înțelesul mamei.,Planned,
5,D1,2026-05-18,H,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Reacție post-piață a zilei,Reacția mea la cum a fost piața azi.,Planned,
6,D1,2026-05-18,H,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: 5 piros zászló crypto,5 fraze care înseamnă scam. Save.,Planned,
7,D1,2026-05-18,H,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: szülőknek bitcoint vettem,POV: tocmai ai zis părinților că ai cumpărat BTC.,Planned,
8,D2,2026-05-19,K,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Aznapi top hír,Știrea zilei din crypto — 30 de secunde.,Planned,
9,D2,2026-05-19,K,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Útközben — voice memo about an idea,Idee crypto pe drum la cafenea.,Planned,
10,D2,2026-05-19,K,U3,11:00,LI-TXT,LinkedIn,P2,Igen,De ce românii sunt sceptici cu crypto,Cultural context + financial trauma post-FNI.,Planned,
11,D2,2026-05-19,K,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.2 — exchange + AURA,Ce e un exchange și prin ce diferă AURA.,Planned,
12,D2,2026-05-19,K,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Reading top comments of the day,Top 3 comentarii ale zilei.,Planned,
13,D2,2026-05-19,K,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: BTC vs ETH — 4 differences,Thread: BTC vs ETH în 4 tweets.,Planned,
14,D2,2026-05-19,K,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,POV: te vagy az aki érti seed phrase,POV: ești singurul din grup care înțelege seed phrase.,Planned,
15,D3,2026-05-20,Sze,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Wednesday BNR / EU regulation,Ce a zis regulatorul azi — pe înțelesul tău.,Planned,
16,D3,2026-05-20,Sze,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Reading the news headlines,Reacție live la titluri crypto.,Planned,
17,D3,2026-05-20,Sze,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Cum citesc piața în 60 sec,Framework simplu pentru oameni busy.,Planned,
18,D3,2026-05-20,Sze,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.3 — self-custody,Self-custody — și de ce contează.,Planned,
19,D3,2026-05-20,Sze,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Quick screen rec — feature show,Quick demo unei funcții.,Planned,
20,D3,2026-05-20,Sze,U6,18:00,X-CLIP,X (Twitter),P5,Igen,Thread: cum lucrează pig butchering,Thread: pig butchering scam structure.,Planned,
21,D3,2026-05-20,Sze,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,"POV: 100 RON-od van, először crypto",POV: ai 100 RON și vrei prima oară crypto.,Planned,
22,D4,2026-05-21,Cs,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Heti félidős market check,"La jumătatea săptămânii: cine câștigă, cine pierde.",Planned,
23,D4,2026-05-21,Cs,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Workspace setup show,Cum arată desk-ul de creator crypto.,Planned,
24,D4,2026-05-21,Cs,U3,11:00,LI-TXT,LinkedIn,P2,Igen,1 greșeală pe care nu o repet,Vulnerability + lesson — primii 5 ani.,Planned,
25,D4,2026-05-21,Cs,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.4 — KYC magyarázva,KYC — de ce dai poza cu buletinul (te protejează).,Planned,
26,D4,2026-05-21,Cs,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Random gândire crypto pe drum,Gând crypto pe drum spre acasă.,Planned,
27,D4,2026-05-21,Cs,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: cum citești un chart,Thread: chart reading 4-step framework.,Planned,
28,D4,2026-05-21,Cs,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P3,Igen,3 dolog amit 18 évesen hittem,3 lucruri pe care le-am crezut la 18 ani — false.,Planned,
29,D5,2026-05-22,P,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Friday news dump — 5 hír,"5 lucruri din crypto, în 60 de secunde.",Planned,
30,D5,2026-05-22,P,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Reading a community comment aloud,Comment românesc citit cu voce tare.,Planned,
31,D5,2026-05-22,P,U3,11:00,LI-TXT,LinkedIn,P2,Igen,Build in public — week 1 numbers,"Followers, views, learnings.",Planned,
32,D5,2026-05-22,P,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P2,Igen,Crypto 101 Ep.5 — gas fees,Gas fees explicate cu autostrada.,Planned,
33,D5,2026-05-22,P,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Dinner + crypto news on phone,Cina + verific telefon.,Planned,
34,D5,2026-05-22,P,U6,18:00,X-CLIP,X (Twitter),P2,Igen,Thread: ce e blockchain (5 tweets),Thread: blockchain explicat 5x.,Planned,
35,D5,2026-05-22,P,U7,20:00,VID-EVE,TikTok + IG Reels + YT Shorts + FB Reels,P4,Igen,POV: crypto la masă duminică,Când cineva îmi explică crypto la masă de duminică.,Planned,
36,D6,2026-05-23,Szo,U1,07:00,VID-AM,TikTok + IG Reels + YT Shorts + FB Reels,P1,Nem,Weekend market wrap,Weekend recap + 1 alt-coin de urmărit.,Planned,
37,D6,2026-05-23,Szo,U2,09:00,SNAP-AM,Snapchat Spotlight,P3,Nem,Quick chart take — TradingView open,Chart look — 30 sec opinion.,Planned,
38,D6,2026-05-23,Szo,U3,11:00,LI-TXT,LinkedIn,P2,Igen,De ce education > prediction,Pourquoi ne fac TA jóslás pe TikTok.,Planned,
39,D6,2026-05-23,Szo,U4,13:00,VID-PM,TikTok + IG Reels + YT Shorts + FB Reels,P5,Igen,Pig butchering scam RO,De ce românii sunt ținta «porc la tăiere».,Planned,
40,D6,2026-05-23,Szo,U5,16:00,SNAP-PM,Snapchat Spotlight,P3,Nem,Late afternoon update — pregătesc videoul de seară,Pregătire video de seară.,Planned,
